url,manufacturer,starship_class,name,model,length,max_atmosphering_speed,hyperdrive_rating,MGLT,armament,crew,passengers,cargo_capacity,consumables
https://starwars.fandom.com/wiki/T-65B_X-wing_starfighter,Incom Corporation,Starfighter,X-wing,T-65 X-wing,12.5,1050,1.0,100,"4 x Taim & Bak KX9 or IX4 laser cannons,2 x Krupx MG7 proton torpedo launchers (3 torpedoes each)",2,0,110,1 week
https://starwars.fandom.com/wiki/T-70_X-wing_starfighter,Incom-FreiTek Corporation,Starfighter,X-wing,T-70 X-wing,12.49,1100,1.0,110,"4 x Taim & Bak KX12 laser cannons,2 x Krupx MG7-A torpedo launchers,8 x Miniaturized Krupx MG7-A proton torpedoes,4 x Ion bombs,1 x BlasTech Ax-190-B blaster cannon (undercarriage-mounted)",2,0,110,1 week
https://starwars.fandom.com/wiki/BTL_Y-wing_starfighter,Koensayr Manufacturing,Assault starfighter,Y-wing,BTL Y-wing,23.4,1000,1.0,80,"2 x Taim & Bak IX4 or KX5 laser cannons,2 x light ArMek turreted SW-4 ion cannons,2 x Arakyd Flex Tube proton torpedo launchers (4 torpedoes each),Proton bombs",3,3,110,1 week
https://starwars.fandom.com/wiki/GR-75_medium_transport,"Gallofree Yards, Inc.",Medium transport,Rebel transport,GR-75 medium transport,90.0,650,4.0,20,4 x twin fire-linked laser cannon turrets,6,300,19000000,6 months
https://starwars.fandom.com/wiki/Millennium_Falcon,Corellian Engineering Corporation,Light freighter,Millennium Falcon,YT-1300 light freighter,34.37,1050,1.0,75,"2 x modified Corellian Engineering Corporation AG-2G quad laser cannons,1 x concealed BlasTech Ax-108 Ground Buzzer surface-defense blaster cannon,2 x Arakyd ST2 concussion missile tubes (4 missiles each)",2,6,100000,2 months
https://starwars.fandom.com/wiki/Twilight,Corellian Engineering Corporation,Light freighter,Twilight,G9 Rigger-class light freighter,34.1,700,3.0,,"3 x heavy blasters,1 x Rotating blaster cannon,Concussion missile launchers",2,6,70000,1 month
https://starwars.fandom.com/wiki/TIE/LN_starfighter,Sienar Fleet Systems,Starfighter,TIE/LN starfighter,Twin Ion Engine/LN Starfighter,6.3,1200,,100,"2 x L-s1 cannons",1,0,65,2 days
https://starwars.fandom.com/wiki/TIE_Advanced_x1,Sienar Fleet Systems,Starfighter,TIE Advanced x1,Twin Ion Engine Advanced x1,5.8,1200,4.0,105,"2 x L-s9.3 cannons, Cluster missle launcher",1,0,150,5 days
https://starwars.fandom.com/wiki/CR90_corvette,Corellian Engineering Corporation,Corvette,CR90 corvette,CR90 corvette,150,950,2.0,81,"2 x dorsal and ventral dual turbolaser turrets,4 x Turbolaser cannons",30,600,3000000,1 year
https://starwars.fandom.com/wiki/Imperial_I-class_Star_Destroyer,Kuat Drive Yards,Star Destroyer,Star Destroyer,Imperial I-class Star Destroyer,1600,975,2.0,60,"60 x Taim & Bak XX-9 heavy turbolaser batteries,60 x Borstel NK-7 ion cannons,6 x Dual heavy turbolaser turrets,2 x Dual heavy ion cannon turrets,2 x Quad heavy turbolasers,3 x Triple medium turbolasers,2 x Medium turbolasers,40 x Point-defense laser cannons,10 Heavy Phylon Q7 tractor beam projectors",37085,9700,360000000,2 years
