state,county,cbsa_title,ur_code,ur_code_name
MI,Alcona County,,6,Noncore
MI,Alger County,,6,Noncore
MI,Allegan County,"Holland, MI",5,Micropolitan
MI,Alpena County,"Alpena, MI",5,Micropolitan
MI,Antrim County,,6,Noncore
MI,Arenac County,,6,Noncore
MI,Baraga County,,6,Noncore
MI,Barry County,"Grand Rapids-Wyoming, MI",2,Large fringe metro
MI,Bay County,"Bay City, MI",4,Small metro
MI,Benzie County,"Traverse City, MI",5,Micropolitan
MI,Berrien County,"Niles-Benton Harbor, MI",4,Small metro
MI,Branch County,"Coldwater, MI",5,Micropolitan
MI,Calhoun County,"Battle Creek, MI",4,Small metro
MI,Cass County,"South Bend-Mishawaka, IN-MI",3,Medium metro
MI,Charlevoix County,,6,Noncore
MI,Cheboygan County,,6,Noncore
MI,Chippewa County,"Sault Ste. Marie, MI",5,Micropolitan
MI,Clare County,,6,Noncore
MI,Clinton County,"Lansing-East Lansing, MI",3,Medium metro
MI,Crawford County,,6,Noncore
MI,Delta County,"Escanaba, MI",5,Micropolitan
MI,Dickinson County,"Iron Mountain, MI-WI",5,Micropolitan
MI,Eaton County,"Lansing-East Lansing, MI",3,Medium metro
MI,Emmet County,,6,Noncore
MI,Genesee County,"Flint, MI",3,Medium metro
MI,Gladwin County,,6,Noncore
MI,Gogebic County,,6,Noncore
MI,Grand Traverse County,"Traverse City, MI",5,Micropolitan
MI,Gratiot County,"Alma, MI",5,Micropolitan
MI,Hillsdale County,"Hillsdale, MI",5,Micropolitan
MI,Houghton County,"Houghton, MI",5,Micropolitan
MI,Huron County,,6,Noncore
MI,Ingham County,"Lansing-East Lansing, MI",3,Medium metro
MI,Ionia County,"Ionia, MI",5,Micropolitan
MI,Iosco County,,6,Noncore
MI,Iron County,,6,Noncore
MI,Isabella County,"Mount Pleasant, MI",5,Micropolitan
MI,Jackson County,"Jackson, MI",4,Small metro
MI,Kalamazoo County,"Kalamazoo-Portage, MI",3,Medium metro
MI,Kalkaska County,"Traverse City, MI",5,Micropolitan
MI,Kent County,"Grand Rapids-Wyoming, MI",1,Large central metro
MI,Keweenaw County,"Houghton, MI",5,Micropolitan
MI,Lake County,,6,Noncore
MI,Lapeer County,"Detroit-Warren-Dearborn, MI",2,Large fringe metro
MI,Leelanau County,"Traverse City, MI",5,Micropolitan
MI,Lenawee County,"Adrian, MI",5,Micropolitan
MI,Livingston County,"Detroit-Warren-Dearborn, MI",2,Large fringe metro
MI,Luce County,,6,Noncore
MI,Mackinac County,,6,Noncore
MI,Macomb County,"Detroit-Warren-Dearborn, MI",2,Large fringe metro
MI,Manistee County,,6,Noncore
MI,Marquette County,"Marquette, MI",5,Micropolitan
MI,Mason County,"Ludington, MI",5,Micropolitan
MI,Mecosta County,"Big Rapids, MI",5,Micropolitan
MI,Menominee County,"Marinette, WI-MI",5,Micropolitan
MI,Midland County,"Midland, MI",4,Small metro
MI,Missaukee County,"Cadillac, MI",5,Micropolitan
MI,Monroe County,"Monroe, MI",4,Small metro
MI,Montcalm County,"Grand Rapids-Wyoming, MI",2,Large fringe metro
MI,Montmorency County,,6,Noncore
MI,Muskegon County,"Muskegon, MI",4,Small metro
MI,Newaygo County,,6,Noncore
MI,Oakland County,"Detroit-Warren-Dearborn, MI",2,Large fringe metro
MI,Oceana County,,6,Noncore
MI,Ogemaw County,,6,Noncore
MI,Ontonagon County,,6,Noncore
MI,Osceola County,,6,Noncore
MI,Oscoda County,,6,Noncore
MI,Otsego County,,6,Noncore
MI,Ottawa County,"Grand Rapids-Wyoming, MI",2,Large fringe metro
MI,Presque Isle County,,6,Noncore
MI,Roscommon County,,6,Noncore
MI,Saginaw County,"Saginaw, MI",4,Small metro
MI,St. Clair County,"Detroit-Warren-Dearborn, MI",2,Large fringe metro
MI,St. Joseph County,"Sturgis, MI",5,Micropolitan
MI,Sanilac County,,6,Noncore
MI,Schoolcraft County,,6,Noncore
MI,Shiawassee County,"Owosso, MI",5,Micropolitan
MI,Tuscola County,,6,Noncore
MI,Van Buren County,"Kalamazoo-Portage, MI",3,Medium metro
MI,Washtenaw County,"Ann Arbor, MI",3,Medium metro
MI,Wayne County,"Detroit-Warren-Dearborn, MI",1,Large central metro
MI,Wexford County,"Cadillac, MI",5,Micropolitan
